hscode_4,text,url
2522,生石灰、熟石灰及水硬性石灰（第２８２５節之氧化鈣及氫氧化鈣除外）,tariffHScode.asp?code=2522
2523,卜特蘭水泥、鋁質水泥、熔渣水泥、過硫酸水泥及其他類似之水硬性水泥，不論是否著色或呈熔滓狀,tariffHScode.asp?code=2523
2524,石棉,tariffHScode.asp?code=2524
2525,雲母，包括劈開片；廢雲母,tariffHScode.asp?code=2525
2526,天然皂石，不論是否用鋸或其他方法粗加切成長方形（包括方形）之板或塊；滑石,tariffHScode.asp?code=2526
2528,天然硼酸鹽及其精砂（不論是否?燒），但自其鹽滷中析離之硼酸鹽除外；以乾重量計算其硼酸（Ｈ３ＢＯ３）成分在８５％及以下之天然硼酸,tariffHScode.asp?code=2528
2529,長石；白榴石；霞石及霞石正長嚴；螢石,tariffHScode.asp?code=2529
2530,未列名礦物質,tariffHScode.asp?code=2530
2601,鐵礦石及其精砂，包括已焙燒之硫化鐵礦石,tariffHScode.asp?code=2601
2602,錳礦石及其精砂，包括鐵錳礦石及其精砂以乾基重量計算含錳量在２０％及以上者,tariffHScode.asp?code=2602
2603,銅礦石及其精砂,tariffHScode.asp?code=2603
2604,鎳礦石及其精砂,tariffHScode.asp?code=2604
2605,鈷礦石及其精砂,tariffHScode.asp?code=2605
2606,鋁礦石及其精砂,tariffHScode.asp?code=2606
2607,鉛礦石及其精砂,tariffHScode.asp?code=2607
2608,鋅礦石及其精砂,tariffHScode.asp?code=2608
2609,錫礦石及其精砂,tariffHScode.asp?code=2609
2610,鉻礦石及其精砂,tariffHScode.asp?code=2610
2611,鎢礦石及其精砂,tariffHScode.asp?code=2611
2612,鈾或釷礦石及其精砂,tariffHScode.asp?code=2612
2613,鉬礦石及其精砂,tariffHScode.asp?code=2613
